nic_dose,time ,speed 
0.0,4.2,1.81
0.0,2.03,3.74
0.0,4.7,1.62
0.0,5.86,1.3
0.0,7.05,1.08
0.0,8.35,0.91
0.0,8.9,0.85
0.0,7.66,0.99
0.0,11.15,0.68
0.0,6.91,1.1
0.0,6.97,1.09
0.0,8.07,0.94
0.0,4.33,1.76
0.0,5.48,1.39
0.0,9.06,0.84
0.0,4.4,1.73
0.0,5.48,1.39
0.0,6.55,1.16
0.0,8.11,0.94
0.0,9.01,0.84
0.1,2.7,2.81
0.1,3.92,1.94
0.1,5.6,1.36
0.1,6.21,1.22
0.1,6.29,1.21
0.1,6.62,1.15
0.1,7.06,1.08
0.1,7.07,1.07
0.1,7.71,0.99
0.1,8.26,0.92
0.1,8.47,0.9
0.1,8.65,0.88
0.1,9.79,0.78
0.1,11.18,0.68
0.1,3.54,2.15
0.1,4.64,1.64
0.1,4.72,1.61
0.1,4.75,1.6
0.1,5.53,1.37
0.1,5.61,1.35
0.1,5.96,1.28
0.1,6.53,1.16
0.1,6.64,1.14
0.1,6.7,1.13
0.1,6.95,1.09
0.1,7.41,1.03
0.1,8.72,0.87
0.1,9.47,0.8
0.1,2.61,2.91
0.1,3.67,2.07
0.1,4.16,1.83
0.1,4.25,1.79
0.1,4.88,1.56
0.1,4.94,1.54
0.1,5.26,1.44
0.1,5.48,1.39
0.1,5.62,1.35
0.1,6.1,1.25
0.1,6.21,1.22
0.1,6.76,1.12
0.1,7.48,1.02
0.1,8.41,0.9
0.1,3.43,2.22
0.1,3.53,2.15
0.1,4.25,1.79
0.1,4.68,1.62
0.1,4.75,1.6
0.1,5.33,1.43
0.1,5.61,1.35
0.1,5.86,1.3
0.1,5.99,1.27
0.1,6.08,1.25
0.1,6.86,1.11
0.1,7.09,1.07
0.1,7.16,1.06
0.1,7.2,1.06
0.1,7.85,0.97
0.1,8.2,0.93
0.1,8.59,0.88
0.1,9.22,0.82
0.1,9.44,0.81
0.1,9.62,0.79
0.1,10.15,0.75
0.1,10.29,0.74
0.1,3.49,2.18
0.1,3.92,1.94
0.1,4.19,1.81
0.1,4.2,1.81
0.1,4.48,1.7
0.1,4.6,1.65
0.1,5.05,1.5
0.1,5.73,1.33
0.1,5.77,1.32
0.1,6.23,1.22
0.1,6.25,1.22
0.1,6.28,1.21
0.1,6.73,1.13
0.1,6.81,1.12
0.1,7.17,1.06
0.1,7.42,1.02
0.1,8.12,0.94
0.1,7.55,1.01
0.1,7.5,1.01
0.1,7.14,1.06
0.1,6.77,1.12
0.1,6.77,1.12
0.1,6.33,1.2
0.1,6.32,1.2
0.1,6.12,1.24
0.1,5.71,1.33
0.1,5.23,1.45
0.1,5.13,1.48
0.1,4.92,1.54
0.1,4.6,1.65
0.1,4.5,1.69
0.1,4.39,1.73
0.1,4.28,1.78
0.1,3.27,2.32
0.1,2.86,2.66
0.1,12.23,0.62
0.1,11.76,0.65
0.1,11.59,0.66
0.1,11.52,0.66
0.1,11.29,0.67
0.1,11.24,0.68
0.1,10.27,0.74
0.1,10.26,0.74
0.1,10.23,0.74
0.1,10.05,0.76
0.1,10.01,0.76
0.1,9.7,0.78
0.1,9.54,0.8
0.1,9.26,0.82
0.1,9.23,0.82
0.1,8.93,0.85
0.1,8.7,0.87
0.1,8.7,0.87
0.1,8.18,0.93
0.1,7.67,0.99
0.1,7.27,1.05
0.1,7.21,1.05
0.1,6.96,1.09
0.1,9.01,0.84
0.1,8.36,0.91
0.1,7.11,1.07
0.1,5.86,1.3
0.1,8.95,0.85
0.1,7.95,0.96
0.1,7.06,1.08
0.1,6.4,1.19
0.1,6.32,1.2
0.1,6.04,1.26
0.1,4.43,1.72
0.1,13.01,0.58
0.1,11.05,0.69
0.1,10.75,0.71
0.1,9.1,0.84
0.1,8.87,0.86
0.1,7.55,1.01
0.1,6.45,1.18
0.1,6.09,1.25
0.5,4.35,1.75
0.5,4.96,1.53
0.5,5.61,1.35
0.5,5.95,1.28
0.5,8.79,0.86
0.5,21.09,0.36
0.5,2.4,3.17
0.5,3.37,2.26
0.5,3.57,2.13
0.5,4.38,1.74
0.5,4.67,1.63
0.5,5.54,1.37
0.5,5.88,1.29
0.5,6.8,1.12
0.5,6.81,1.12
0.5,7.83,0.97
0.5,8.71,0.87
0.5,9.06,0.84
0.5,3.71,2.05
0.5,5.12,1.48
0.5,5.41,1.4
0.5,6.29,1.21
0.5,6.64,1.14
0.5,6.76,1.12
0.5,7.18,1.06
0.5,8.75,0.87
0.5,8.87,0.86
0.5,3.18,2.39
0.5,3.87,1.96
0.5,5.43,1.4
0.5,5.66,1.34
0.5,5.69,1.34
0.5,5.79,1.31
0.5,5.88,1.29
0.5,6.66,1.14
0.5,6.98,1.09
0.5,7.35,1.03
0.5,7.62,1
0.5,7.7,0.99
0.5,7.93,0.96
0.5,8.67,0.88
0.5,9.08,0.84
0.5,9.74,0.78
0.5,9.77,0.78
0.5,3.55,2.14
0.5,3.83,1.98
0.5,4.37,1.74
0.5,4.84,1.57
0.5,5.12,1.48
0.5,5.24,1.45
0.5,5.3,1.43
0.5,5.9,1.29
0.5,6.11,1.24
0.5,6.99,1.09
0.5,7.39,1.03
0.5,8.01,0.95
0.5,8.53,0.89
1,16.55,0.46
