Tissue,Species,Activity,Site,,,
Gill,M. trossulus,1.8816,Lab,,,
Gill,M. trossulus,1.4112,Lab,,,
Gill,M. trossulus,1.47,Lab,,,
Gill,M. trossulus,1.1172,Lab,,,
Gill,M. trossulus,1.764,Lab,,,
Gill,M. trossulus,1.1172,Lab,,,
Gill,M. trossulus,0.9408,Lab,,,
Gill,M. trossulus,2.058,Lab,,,
Gill,M. trossulus,1.3524,Lab,,,
Gill,M. trossulus,1.6464,Lab,,,
Gill,M. trossulus,1.8816,Lab,,,
Gill,M. trossulus,1.764,Lab,,,
Gill,M. trossulus,1.6464,Lab,,,
Gill,M. trossulus,1.5288,Lab,,,
Gill,M. trossulus,1.5876,Lab,,,
Gill,M. trossulus,1.2936,Lab,,,
Gill,M. trossulus,1.176,Lab,,,
Gill,M. trossulus,1.6464,Lab,,,
Adductor Muscle,M. trossulus,1.9992,Lab,,,
Adductor Muscle,M. trossulus,1.764,Lab,,,
Adductor Muscle,M. trossulus,1.5288,Lab,,,
Adductor Muscle,M. trossulus,0.8232,Lab,,,
Adductor Muscle,M. trossulus,1.0584,Lab,,,
Adductor Muscle,M. trossulus,1.6464,Lab,,,
Adductor Muscle,M. trossulus,1.5288,Lab,,,
Adductor Muscle,M. trossulus,1.0584,Lab,,,
Adductor Muscle,M. trossulus,1.2936,Lab,,,
Adductor Muscle,M. trossulus,1.764,Lab,,,
Adductor Muscle,M. trossulus,1.176,Lab,,,
Adductor Muscle,M. trossulus,1.6464,Lab,,,
Mantle,M. trossulus,0.8232,Lab,,,
Mantle,M. trossulus,0.882,Lab,,,
Mantle,M. trossulus,0.7056,Lab,,,
Mantle,M. trossulus,0.7056,Lab,,,
Mantle,M. trossulus,0.5292,Lab,,,
Mantle,M. trossulus,0.9408,Lab,,,
Mantle,M. trossulus,0.8232,Lab,,,
Mantle,M. trossulus,0.882,Lab,,,
Mantle,M. trossulus,0.7056,Lab,,,
Mantle,M. trossulus,0.9996,Lab,,,
Mantle,M. trossulus,0.4704,Lab,,,
Mantle,M. trossulus,0.5292,Lab,,,
Gill,M. galloprovincialis,1.4112,Lab,,,
Gill,M. galloprovincialis,0.9408,Lab,,,
Gill,M. galloprovincialis,1.47,Lab,,,
Gill,M. galloprovincialis,1.1172,Lab,,,
Gill,M. galloprovincialis,1.3524,Lab,,,
Gill,M. galloprovincialis,1.0584,Lab,,,
Gill,M. galloprovincialis,1.0584,Lab,,,
Gill,M. galloprovincialis,1.47,Lab,,,
Gill,M. galloprovincialis,1.4112,Lab,,,
Gill,M. galloprovincialis,1.5876,Lab,,,
Gill,M. galloprovincialis,1.6464,Lab,,,
Gill,M. galloprovincialis,0.9408,Lab,,,
Gill,M. galloprovincialis,0.9408,Lab,,,
