Tissue,Species,Activity,Site,Enzyme
Gill,M. trossulus,1.8816,Lab,CS
Gill,M. trossulus,1.4112,Lab,CS
Gill,M. trossulus,1.47,Lab,CS
Gill,M. trossulus,1.1172,Lab,CS
Gill,M. trossulus,1.764,Lab,CS
Gill,M. trossulus,1.1172,Lab,CS
Gill,M. trossulus,0.9408,Lab,CS
Gill,M. trossulus,2.058,Lab,CS
Gill,M. trossulus,1.3524,Lab,CS
Gill,M. trossulus,1.6464,Lab,CS
Gill,M. trossulus,1.8816,Lab,CS
Gill,M. trossulus,1.764,Lab,CS
Gill,M. trossulus,1.6464,Lab,CS
Gill,M. trossulus,1.5288,Lab,CS
Gill,M. trossulus,1.5876,Lab,CS
Gill,M. trossulus,1.2936,Lab,CS
Gill,M. trossulus,1.176,Lab,CS
Gill,M. trossulus,1.6464,Lab,CS
Adductor Muscle,M. trossulus,1.9992,Lab,CS
Adductor Muscle,M. trossulus,1.764,Lab,CS
Adductor Muscle,M. trossulus,1.5288,Lab,CS
Adductor Muscle,M. trossulus,0.8232,Lab,CS
Adductor Muscle,M. trossulus,1.0584,Lab,CS
Adductor Muscle,M. trossulus,1.6464,Lab,CS
Adductor Muscle,M. trossulus,1.5288,Lab,CS
Adductor Muscle,M. trossulus,1.0584,Lab,CS
Adductor Muscle,M. trossulus,1.2936,Lab,CS
Adductor Muscle,M. trossulus,1.764,Lab,CS
Adductor Muscle,M. trossulus,1.176,Lab,CS
Adductor Muscle,M. trossulus,1.6464,Lab,CS
Mantle,M. trossulus,0.8232,Lab,CS
Mantle,M. trossulus,0.882,Lab,CS
Mantle,M. trossulus,0.7056,Lab,CS
Mantle,M. trossulus,0.7056,Lab,CS
Mantle,M. trossulus,0.5292,Lab,CS
Mantle,M. trossulus,0.9408,Lab,CS
Mantle,M. trossulus,0.8232,Lab,CS
Mantle,M. trossulus,0.882,Lab,CS
Mantle,M. trossulus,0.7056,Lab,CS
Mantle,M. trossulus,0.9996,Lab,CS
Mantle,M. trossulus,0.4704,Lab,CS
Mantle,M. trossulus,0.5292,Lab,CS
Gill,M. galloprovincialis,1.4112,Lab,CS
Gill,M. galloprovincialis,0.9408,Lab,CS
Gill,M. galloprovincialis,1.47,Lab,CS
Gill,M. galloprovincialis,1.1172,Lab,CS
Gill,M. galloprovincialis,1.3524,Lab,CS
Gill,M. galloprovincialis,1.0584,Lab,CS
Gill,M. galloprovincialis,1.0584,Lab,CS
Gill,M. galloprovincialis,1.47,Lab,CS
Gill,M. galloprovincialis,1.4112,Lab,CS
Gill,M. galloprovincialis,1.5876,Lab,CS
Gill,M. galloprovincialis,1.6464,Lab,CS
Gill,M. galloprovincialis,0.9408,Lab,CS
Gill,M. galloprovincialis,0.9408,Lab,CS
Gill,M. galloprovincialis,0.9408,Lab,CS
Gill,M. galloprovincialis,1.2936,Lab,CS
Gill,M. galloprovincialis,0.588,Lab,CS
Gill,M. galloprovincialis,1.0584,Lab,CS
Gill,M. galloprovincialis,1.4112,Lab,CS
Adductor Muscle,M. galloprovincialis,1.176,Lab,CS
Adductor Muscle,M. galloprovincialis,0.7056,Lab,CS
Adductor Muscle,M. galloprovincialis,1.176,Lab,CS
Adductor Muscle,M. galloprovincialis,1.176,Lab,CS
Adductor Muscle,M. galloprovincialis,1.0584,Lab,CS
Adductor Muscle,M. galloprovincialis,0.8232,Lab,CS
Adductor Muscle,M. galloprovincialis,0.588,Lab,CS
Adductor Muscle,M. galloprovincialis,0.588,Lab,CS
Adductor Muscle,M. galloprovincialis,0.9408,Lab,CS
Adductor Muscle,M. galloprovincialis,0.8232,Lab,CS
Adductor Muscle,M. galloprovincialis,1.176,Lab,CS
Adductor Muscle,M. galloprovincialis,0.9408,Lab,CS
Mantle,M. galloprovincialis,0.2352,Lab,CS
Mantle,M. galloprovincialis,0.1764,Lab,CS
Mantle,M. galloprovincialis,0.5292,Lab,CS
Mantle,M. galloprovincialis,0.8232,Lab,CS
Mantle,M. galloprovincialis,0.294,Lab,CS
Mantle,M. galloprovincialis,0.1764,Lab,CS
Mantle,M. galloprovincialis,0.2352,Lab,CS
Mantle,M. galloprovincialis,0.294,Lab,CS
Mantle,M. galloprovincialis,0.3528,Lab,CS
Mantle,M. galloprovincialis,0.4704,Lab,CS
Mantle,M. galloprovincialis,0.2352,Lab,CS
Mantle,M. galloprovincialis,0.294,Lab,CS
Adductor Muscle,M. trossulus,1.2348,Field,CS
Adductor Muscle,M. trossulus,1.7934,Field,CS
Adductor Muscle,M. trossulus,2.3226,Field,CS
Adductor Muscle,M. trossulus,2.352,Field,CS
Adductor Muscle,M. trossulus,2.5872,Field,CS
Adductor Muscle,M. trossulus,2.6166,Field,CS
Adductor Muscle,M. trossulus,2.7636,Field,CS
Adductor Muscle,M. trossulus,2.8812,Field,CS
Adductor Muscle,M. trossulus,2.8812,Field,CS
Adductor Muscle,M. trossulus,3.0576,Field,CS
Adductor Muscle,M. trossulus,3.1752,Field,CS
Adductor Muscle,M. trossulus,3.8808,Field,CS
Adductor Muscle,M. galloprovincialis,0.6174,Field,CS
Adductor Muscle,M. galloprovincialis,0.6174,Field,CS
Adductor Muscle,M. galloprovincialis,0.8232,Field,CS
Adductor Muscle,M. galloprovincialis,0.9114,Field,CS
Adductor Muscle,M. galloprovincialis,0.9702,Field,CS
Adductor Muscle,M. galloprovincialis,1.2054,Field,CS
Adductor Muscle,M. galloprovincialis,1.4406,Field,CS
Adductor Muscle,M. galloprovincialis,1.5288,Field,CS
Adductor Muscle,M. galloprovincialis,1.5876,Field,CS
Adductor Muscle,Hybrid,0.294,Field,CS
Adductor Muscle,Hybrid,1.2936,Field,CS
Adductor Muscle,Hybrid,1.4406,Field,CS
Adductor Muscle,Hybrid,1.6464,Field,CS
Adductor Muscle,Hybrid,1.9992,Field,CS
Adductor Muscle,Hybrid,2.2638,Field,CS
Adductor Muscle,Hybrid,2.2932,Field,CS
Adductor Muscle,Hybrid,2.2932,Field,CS
Adductor Muscle,Hybrid,2.4108,Field,CS
Adductor Muscle,Hybrid,2.7342,Field,CS
Adductor Muscle,Hybrid,2.9694,Field,CS
Adductor Muscle,Hybrid,3.1752,Field,CS
Adductor Muscle,Hybrid,3.4692,Field,CS
Gill,M. trossulus,38.0604,Lab,MDH
Gill,M. trossulus,43.9208,Lab,MDH
Gill,M. trossulus,42.3108,Lab,MDH
Gill,M. trossulus,54.1604,Lab,MDH
Gill,M. trossulus,56.1568,Lab,MDH
Gill,M. trossulus,50.1032,Lab,MDH
Gill,M. trossulus,35.742,Lab,MDH
Gill,M. trossulus,52.808,Lab,MDH
Gill,M. trossulus,56.4144,Lab,MDH
Gill,M. trossulus,58.8616,Lab,MDH
Gill,M. trossulus,54.3536,Lab,MDH
Gill,M. trossulus,54.3536,Lab,MDH
Gill,M. trossulus,60.4716,Lab,MDH
Gill,M. trossulus,43.9208,Lab,MDH
Gill,M. trossulus,48.1068,Lab,MDH
Gill,M. trossulus,39.7992,Lab,MDH
