Tissue	Species	Activity	Site
Gill	M. trossulus	38.0604	Lab
Gill	M. trossulus	43.9208	Lab
Gill	M. trossulus	42.3108	Lab
Gill	M. trossulus	54.1604	Lab
Gill	M. trossulus	56.1568	Lab
Gill	M. trossulus	50.1032	Lab
Gill	M. trossulus	35.742	Lab
Gill	M. trossulus	52.808	Lab
Gill	M. trossulus	56.4144	Lab
Gill	M. trossulus	58.8616	Lab
Gill	M. trossulus	54.3536	Lab
Gill	M. trossulus	54.3536	Lab
Gill	M. trossulus	60.4716	Lab
Gill	M. trossulus	43.9208	Lab
Gill	M. trossulus	48.1068	Lab
Gill	M. trossulus	39.7992	Lab
Gill	M. trossulus	39.9924	Lab
Gill	M. trossulus	47.012	Lab
Adductor Muscle	M. trossulus	91.5768	Lab
Adductor Muscle	M. trossulus	89.1296	Lab
Adductor Muscle	M. trossulus	80.8864	Lab
Adductor Muscle	M. trossulus	68.5216	Lab
Adductor Muscle	M. trossulus	67.1048	Lab
Adductor Muscle	M. trossulus	99.4336	Lab
Adductor Muscle	M. trossulus	140.1344	Lab
Adductor Muscle	M. trossulus	71.0976	Lab
Adductor Muscle	M. trossulus	78.9544	Lab
Adductor Muscle	M. trossulus	97.6304	Lab
Adductor Muscle	M. trossulus	83.9776	Lab
Adductor Muscle	M. trossulus	86.5536	Lab
Mantle	M. trossulus	34.9692	Lab
Mantle	M. trossulus	40.894	Lab
Mantle	M. trossulus	28.98	Lab
Mantle	M. trossulus	32.522	Lab
Mantle	M. trossulus	27.6276	Lab
Mantle	M. trossulus	49.9744	Lab
Mantle	M. trossulus	40.7652	Lab
Mantle	M. trossulus	38.8332	Lab
Mantle	M. trossulus	42.3752	Lab
Mantle	M. trossulus	53.2588	Lab
Mantle	M. trossulus	21.574	Lab
Mantle	M. trossulus	28.7868	Lab
Gill	M. galloprovincialis	46.368	Lab
Gill	M. galloprovincialis	24.0856	Lab
Gill	M. galloprovincialis	43.6632	Lab
Gill	M. galloprovincialis	43.148	Lab
Gill	M. galloprovincialis	54.096	Lab
Gill	M. galloprovincialis	44.0496	Lab
Gill	M. galloprovincialis	36.5148	Lab
Gill	M. galloprovincialis	51.6488	Lab
Gill	M. galloprovincialis	41.6668	Lab
Gill	M. galloprovincialis	47.9136	Lab
Gill	M. galloprovincialis	43.792	Lab
Gill	M. galloprovincialis	35.3556	Lab
Gill	M. galloprovincialis	27.4344	Lab
Gill	M. galloprovincialis	34.776	Lab
Gill	M. galloprovincialis	43.7276	Lab
Gill	M. galloprovincialis	23.7636	Lab
Gill	M. galloprovincialis	38.2536	Lab
Gill	M. galloprovincialis	43.5344	Lab
Adductor Muscle	M. galloprovincialis	54.9976	Lab
Adductor Muscle	M. galloprovincialis	44.436	Lab
Adductor Muscle	M. galloprovincialis	53.3232	Lab
Adductor Muscle	M. galloprovincialis	72.772	Lab
Adductor Muscle	M. galloprovincialis	50.3608	Lab
Adductor Muscle	M. galloprovincialis	39.284	Lab
Adductor Muscle	M. galloprovincialis	33.1016	Lab
Adductor Muscle	M. galloprovincialis	34.132	Lab
Adductor Muscle	M. galloprovincialis	51.9064	Lab
Adductor Muscle	M. galloprovincialis	44.436	Lab
Adductor Muscle	M. galloprovincialis	69.4232	Lab
Adductor Muscle	M. galloprovincialis	60.0208	Lab
Mantle	M. galloprovincialis	15.3916	Lab
Mantle	M. galloprovincialis	15.2628	Lab
Mantle	M. galloprovincialis	35.5488	Lab
Mantle	M. galloprovincialis	41.0228	Lab
Mantle	M. galloprovincialis	23.6992	Lab
Mantle	M. galloprovincialis	17.9032	Lab
Mantle	M. galloprovincialis	20.8012	Lab
Mantle	M. galloprovincialis	22.218	Lab
Mantle	M. galloprovincialis	17.2592	Lab
Mantle	M. galloprovincialis	27.8852	Lab
Mantle	M. galloprovincialis	15.7136	Lab
Mantle	M. galloprovincialis	17.7744	Lab
Adductor Muscle	M. trossulus	57.48773	Field
Adductor Muscle	M. trossulus	87.1976	Field
Adductor Muscle	M. trossulus	124.7643	Field
Adductor Muscle	M. trossulus	84.8792	Field
Adductor Muscle	M. trossulus	83.076	Field
Adductor Muscle	M. trossulus	125.3653	Field
Adductor Muscle	M. trossulus	138.8464	Field
Adductor Muscle	M. trossulus	111.0256	Field
Adductor Muscle	M. trossulus	81.9168	Field
Adductor Muscle	M. trossulus	130.3456	Field
Adductor Muscle	M. trossulus	96.4712	Field
Adductor Muscle	M. trossulus	130.088	Field
Adductor Muscle	M. galloprovincialis	70.6468	Field
Adductor Muscle	M. galloprovincialis	66.2676	Field
Adductor Muscle	M. galloprovincialis	53.3876	Field
Adductor Muscle	M. galloprovincialis	80.9508	Field
Adductor Muscle	M. galloprovincialis	82.0456	Field
Adductor Muscle	M. galloprovincialis	80.4356	Field
Adductor Muscle	M. galloprovincialis	83.3336	Field
Adductor Muscle	M. galloprovincialis	81.5304	Field
Adductor Muscle	M. galloprovincialis	57.78827	Field
Adductor Muscle	Hybrid	49.1372	Field
Adductor Muscle	Hybrid	119.2044	Field
Adductor Muscle	Hybrid	72.8364	Field
Adductor Muscle	Hybrid	67.7488	Field
Adductor Muscle	Hybrid	95.35494	Field
Adductor Muscle	Hybrid	114.31	Field
Adductor Muscle	Hybrid	87.7128	Field
Adductor Muscle	Hybrid	112.6356	Field
Adductor Muscle	Hybrid	90.804	Field
Adductor Muscle	Hybrid	125.1936	Field
Adductor Muscle	Hybrid	95.634	Field
Adductor Muscle	Hybrid	143.2256	Field
Adductor Muscle	Hybrid	64.7864	Field
